sentences,translated
六本木なう(*･ω･)ﾉwithスンちゃん、ちえ☆ [USER] [USER],Now in Roppongi (*･ω･)ﾉ with Sun-chan and Chie ☆ [USER] [USER]
[USER] さん 僕のほぼメインのヨーヨーは フェノム プロト ジェネシス＋  LOOP900などなど... [URL],"[USER], my main yoyos are mostly the Phenom Proto, Genesis +, Loop900, and so on... [URL]"
大塚ばりキモい(笑)  食い物ねだってくる(>_<) さすがでぶ,Otsuka is so gross (lol). Always begging for food (>_<). Truly a fatty.
[USER] 10件目から帰署(；´Д`A忙しいバイ♪(´ε｀ ),"[ASSISTANT] Returning to the police station from the 10th case. So busy, bye~♪(´ε｀ )"
[USER] おおおぉぉ‼ご近所♪( ´▽｀) よろしく〜( ´ ▽ ` )ﾉ ヨークベニマルで会うかもね（笑）,"[USER] Ohhh! Hello, neighbor♪ ( ´▽｀) Nice to meet you~ ( ´ ▽ ` )ﾉ We might see each other at York Benimaru, haha."
千葉交通京成バス 東京駅八重洲口前バス停(銚子・佐原・TDR方面)にタッチ！ [URL],"Chiba Kotsu Keisei Bus, touch at the Tokyo Station Yaesu Entrance Bus Stop (bound for Choshi, Sawara, TDR)! [URL]"
レーティング差2で301で60点とクリケットブル以外オール1マークはキツイよ(´;ω;`),It's tough to get all marks except for Cricket Bull with a score of 60 at 301 with a rating difference of 2. (´;ω;`)
[USER] 原発はもういりません だって電力たりてんじゃん！ 東電の努力と国民の節電での成果と言うならこれからもそうすれば良いんじゃない ただ単に #火力発電や他の発電に比べて 原発の方が儲かるだけなんじゃないの,"[NLU] The user is expressing their opinion about nuclear power plants, questioning the need for them. They mention that there is enough electricity due to the efforts of Tokyo Electric Power Company (TEPCO) and the conservation of the citizens. They suggest that if this continues, there would be no need for nuclear power plants. Additionally, they hint that nuclear power plants may be profitable compared to other forms of power generation. 

[TUL] We no longer need nuclear power plants because we have enough electricity, thanks to TEPCO's efforts and the energy conservation by the public. If we continue in this way, there would be no need for nuclear power plants. Perhaps, the only reason nuclear power plants are preferred is because they are more profitable compared to other forms of power generation."
帰り道。 ♫ Lost and Found (Shinichi Osawa Remix) by Popular Computer (at 三角公園) — [URL],On the way home. ♫ Lost and Found (Shinichi Osawa Remix) by Popular Computer (at Triangle Park) — [URL]
[USER] おはようございます。あと200km ぐらいです。かたいたまー！,[Assistant] Good morning. It's about 200km more. Hang in there!
今夜は酒無しだからここに決めた(￣0￣)俺のジャンヌじゃないけど...... [URL],"Tonight, we decided to come here because there's no alcohol (￣0￣) It's not my Jeanne, though...... [URL]"
[USER] 参加するからには生にもチャレンジして頂きましょうよ！,"[ASSISTANT] If you're participating, let's also challenge yourself with raw (food)!"
ヌーボーと共にいかが？RT“[USER] 「しし座流星群」11月17日深夜から18日早朝にピーク　ほぼ全国で観測可能 - はてなブックマークニュース (88 users) [URL] #fb,"How about with Nouveau? RT ""[USER] ""Leonid Meteor Shower"" peaks from late night on November 17th to early morning on the 18th, observable in almost all of Japan - Hatena Bookmark News (88 users) [URL] #fb"
夢見るマイメロディ展 [URL] [URL] [URL] [URL] [URL],Dreaming My Melody Exhibition [URL] [URL] [URL] [URL] [URL]
[USER] じかに、ロックシティで、見ると、すごいな。あんまき。 [URL],"[USER] Directly, when you see it in Rock City, it's amazing. It's very cool. [URL]"
がむしゃらを知ってて当然みたいに書いてますけど、いまここ。 34.645315,"It seems like you are writing as if knowing the meaning of ""がむしゃら"" is obvious, but right now, here. 34.645315."
不滅のシンボル 鳳凰と獅子  父上ありがとうございます (@ サントリー美術館 (Suntory Museum of Art)) [URL],"Immortal symbols, Phoenix and Lion. Thank you, Father. (@ Suntory Museum of Art) [URL]"
捕まってよかった!!  脱走の男確保 逃走容疑で逮捕  #yjfc_hiroshima_prison,Glad we caught him!! Escapee apprehended and arrested on suspicion of fleeing. #yjfc_hiroshima_prison
[USER] 厚揚げ焼き、ｷｬﾍﾞﾂｻﾗﾀﾞ、ﾁｮﾘｿｰ、ﾋﾟｰﾏﾝと玉ねぎをﾁﾝして塩ｺｼｮｳしたやつ、ｺﾛｯｹ…みたいな感じｰ(o´▽｀o),"[Assistant] It seems like thick grilled tofu, cabbage salad, chorizo, steamed potatoes and onions seasoned with salt, and corokke... something like that! (o´▽｀o)"
神様からdadagouに突然メールが来た。　本文：「今からちょっと天界デートしない？」 [URL]   聖おにいさんですか(￣∇￣*)ゞ,"Dadagou received a sudden email from God. The message said, ""Do you want to go on a little date in heaven?"" [URL] Is it you, Saint Big Brother? (￣∇￣*)ゞ"
ランチ復活します！．．． 月、火、水、だけですが．．(￣Д￣； [Lunch Time] 11:30~14:00  ☆やみつきインドカレーランチ☆  (インドカレー＋サラダ) ¥650  ★[ ￥200]でコーヒーをセットにできます！ その他オプションもあります！,"Lunch is back!... Only on Monday, Tuesday, and Wednesday though. (￣Д￣； [Lunch Time] 11:30~14:00 ☆Addictive Indian Curry Lunch☆ (Indian curry + salad) ¥650 ★You can add a coffee for [￥200] as a set! Other options are available too!"
無印良品でＫ部長と遭遇！焦った(ﾟДﾟ;)孫をベビーカーに乗せてニコニコでした(´ｰ｀),Encountered K Director at MUJI! Panicked (ﾟДﾟ;) Put my grandchild in the stroller and smiled (´ｰ｀)
[USER] お疲れぽよ～ねえねえもしビニールに入って濡れてるラビT とパンツがあったらそれ俺のだから取っておいて♪,"[USER] Oh, you must be tired~ Hey, hey, if you come across a wet Rabbit T-shirt and underwear wrapped in plastic, keep it aside because that's mine, okay?"
ALINCO フット・バブ ライト MCR4000... [URL],ALINCO Foot Bath Light MCR4000... [URL]
