sentences,,,,,,
六本木なう(*･ω･)ﾉwithスンちゃん、ちえ☆ [USER] [USER],,,,,,
[USER] 私初段からやばくてなっちゃんにのんでもらってた!!なっちゃんごめん大丈夫?まあ大丈夫か!!,,,,,,
[USER] さん 僕のほぼメインのヨーヨーは フェノム プロト ジェネシス＋  LOOP900などなど... [URL],,,,,,
今から、娘と、みなとみらいホールへ、“楽器ものしりコンサート”に行きます。 久々に少しオシャレしちゃったけど、 (>_<)雨降りです(>_<) ついてない,,,,,,
大塚ばりキモい(笑)  食い物ねだってくる(>_<) さすがでぶ,,,,,,
[USER] 10件目から帰署(；´Д`A忙しいバイ♪(´ε｀ ),,,,,,
busy？ or not busy？ I could not understand today‘s work…,,,,,,
[USER] おおおぉぉ‼ご近所♪( ´▽｀) よろしく〜( ´ ▽ ` )ﾉ ヨークベニマルで会うかもね（笑）,,,,,,
今日の収穫：珍宝島が実在して、その領有権をめぐって、中ソ間で武力衝突があったということを知った。,,,,,,
韓流ブームって何ですか？ どこで起きてるのですか？ ふと新大久保で考えてみた。,,,,,,
居酒屋なう。 特製サラダたのんだら、予想外のがきた‼‼‼‼ う、う、 うどん？(((;꒪ꈊ꒪;)))(((;꒪ꈊ꒪;)))(((;꒪ꈊ꒪;))) [URL],,,,,,
[USER] あれ、イマココで地図つけたんですが載ってないのかな…(￣◇￣;)とちの実橋です！,,,,,,
千葉交通京成バス 東京駅八重洲口前バス停(銚子・佐原・TDR方面)にタッチ！ [URL],,,,,,
寒い中こごえながらワックスしなければならんとしたら多分ワックスしないと思うブ━━━━∵;（;:゜:鑾;゜;，）;:∵━━━ッ!!,,,,,,
とりあえず終了♪ 木津かおり姉さん、ミカド雅峰君と。あとは夜の野毛チャリティに参戦だ…(；´Д`A [URL],,,,,,
レーティング差2で301で60点とクリケットブル以外オール1マークはキツイよ(´;ω;`),,,,,,
イギリスの巨大な人工太陽には    驚いた。  太陽まで作ってしまう なんて〜。これが本物の太陽のように 地球の生物のすべてに愛を注ぐならば それは、現代のおとぎ話しです。       (太陽がいっぱい）のメロディが ふと、浮かんだー。,,,,,,
[USER] 原発はもういりません だって電力たりてんじゃん！ 東電の努力と国民の節電での成果と言うならこれからもそうすれば良いんじゃない ただ単に #火力発電や他の発電に比べて 原発の方が儲かるだけなんじゃないの,,,,,,
ヤバス！スマホのアプリをDLしたは良いけど、使いこなせてねぇ！！twitrerも使用方法分かりましぇん泣,,,,,,
帰り道。 ♫ Lost and Found (Shinichi Osawa Remix) by Popular Computer (at 三角公園) — [URL],,,,,,
御在所ロープウェイなう。前回お休みだったので今日はリベンジ。  [URL],,,,,,
[USER] おはようございます。あと200km ぐらいです。かたいたまー！,,,,,,
昨日はモーニング娘。の福岡コンサート行ってきました＼(^o^)／めっちゃ盛り上がった！やっぱ娘。は歌もダンスも上手い！その中で圧倒されたのは鞘師ちゃん。恋愛ハンターの鞘師ちゃんカッコ良かったです＼(^o^)／,,,,,,
今夜は酒無しだからここに決めた(￣0￣)俺のジャンヌじゃないけど...... [URL],,,,,,
みつって所に入ってから町の過疎っぷりがやばいwもう村だわこれ…それにしてもローソンが凄く綺麗に見えるのは俺だけかw,,,,,,
美味しき鶏肉が食べたくてドライブがてら買いにきちゃった。ここのはとっても美味しい！さて、渋滞に引っ掛からないようにどこを通って帰ろうかな？来る時は混まなかったから帰りもそうだったらいいのにな。 [URL],,,,,,
[USER] 参加するからには生にもチャレンジして頂きましょうよ！,,,,,,
イーストンズの舞台面白がったです。 千秋楽の日にはまだ若干席が空いているそうなのでお時間のある方はぜひ！[URL],,,,,,
ヌーボーと共にいかが？RT“[USER] 「しし座流星群」11月17日深夜から18日早朝にピーク　ほぼ全国で観測可能 - はてなブックマークニュース (88 users) [URL] #fb,,,,,,
明日は今年初のゴルフ！練習もしてないのに大丈夫かなぁ(^_^;),,,,,,
やっぱり盲腸でした。。(>_<) お騒がせしております。 親指さんは元気ですのでまたぶろぐの方も_φ(._.カキカキします！ おやすみなさい(｡-_-｡),,,,,,
試食チョコ食べすぎて吐き気が...( ´△`) 猪野さん野々花ゆきのちゃんおつかれさま [URL],,,,,,
夢見るマイメロディ展 [URL] [URL] [URL] [URL] [URL],,,,,,
[USER] 返信ありがとうございます(^^)仙台まで行ってきます。行きは高速バスで、帰りは電車の予定です！仙台始めてなのでわくわく！,,,,,,
[USER] ってか、ろっきゅうおにぎりはどこにあるのかしら(笑),,,,,,
