sentences,translated
[USER] 私初段からやばくてなっちゃんにのんでもらってた!!なっちゃんごめん大丈夫?まあ大丈夫か!!,"[ASSISTANT] I was in a bad state from the beginning and relied on Non-chan for everything!! Non-chan, I'm sorry, are you okay? Well, I hope you're okay!!"
今から、娘と、みなとみらいホールへ、“楽器ものしりコンサート”に行きます。 久々に少しオシャレしちゃったけど、 (>_<)雨降りです(>_<) ついてない,"I'm going with my daughter to the Minato Mirai Hall for the ""Musical Instrument Knowledge Concert"" starting from now. It's been a while, so I dressed up a bit, but unfortunately, it's raining. It's just my luck."
busy？ or not busy？ I could not understand today‘s work…,Are you busy? I couldn't understand today's work...
今日の収穫：珍宝島が実在して、その領有権をめぐって、中ソ間で武力衝突があったということを知った。,"Today's harvest: I learned that the legendary Treasure Island actually exists, and there was an armed conflict between China and the Soviet Union over its territorial rights."
韓流ブームって何ですか？ どこで起きてるのですか？ ふと新大久保で考えてみた。,What is the Hallyu wave? Where is it happening? I suddenly thought about it in Shin-Okubo.
居酒屋なう。 特製サラダたのんだら、予想外のがきた‼‼‼‼ う、う、 うどん？(((;꒪ꈊ꒪;)))(((;꒪ꈊ꒪;)))(((;꒪ꈊ꒪;))) [URL],"I'm at an izakaya right now. I ordered a special salad, but something unexpected arrived! U, u, udon? (((;꒪ꈊ꒪;)))(((;꒪ꈊ꒪;)))(((;꒪ꈊ꒪;))) [URL]"
[USER] あれ、イマココで地図つけたんですが載ってないのかな…(￣◇￣;)とちの実橋です！,"[USER] Huh, I marked it on the map right here, but I guess it's not showing up... (￣◇￣;) It's called Tochi no Mihashi!"
寒い中こごえながらワックスしなければならんとしたら多分ワックスしないと思うブ━━━━∵;（;:゜:鑾;゜;，）;:∵━━━ッ!!,"If I have to wax in this freezing cold, I probably won't do it. ブ━━━━∵;（;:゜:鑾;゜;，）;:∵━━━ッ!!"
とりあえず終了♪ 木津かおり姉さん、ミカド雅峰君と。あとは夜の野毛チャリティに参戦だ…(；´Д`A [URL],"For now, it's done♪ With Kizuka Kaori and Mikado Nagamine-kun. After that, I'll join the Yonoh Night Charity...(；´Д`A [URL]"
イギリスの巨大な人工太陽には    驚いた。  太陽まで作ってしまう なんて〜。これが本物の太陽のように 地球の生物のすべてに愛を注ぐならば それは、現代のおとぎ話しです。       (太陽がいっぱい）のメロディが ふと、浮かんだー。,"I was surprised by the gigantic artificial sun in the UK. To think that they created a sun... It's like a modern fairytale if it could give love to all living beings on Earth just like the real sun. The melody of ""Sun is Shining"" suddenly came to mind."
