sentences,translated
六本木なう(*･ω･)ﾉwithスンちゃん、ちえ☆ [USER] [USER],Now in Roppongi (*･ω･)ﾉ with Sun-chan and Chie ☆ [USER] [USER]
[USER] 私初段からやばくてなっちゃんにのんでもらってた!!なっちゃんごめん大丈夫?まあ大丈夫か!!,"[ASSISTANT] I was in a bad state from the beginning and relied on Non-chan for everything!! Non-chan, I'm sorry, are you okay? Well, I hope you're okay!!"
[USER] さん 僕のほぼメインのヨーヨーは フェノム プロト ジェネシス＋  LOOP900などなど... [URL],"[USER], my main yoyos are mostly the Phenom Proto, Genesis +, Loop900, and so on... [URL]"
今から、娘と、みなとみらいホールへ、“楽器ものしりコンサート”に行きます。 久々に少しオシャレしちゃったけど、 (>_<)雨降りです(>_<) ついてない,"I'm going with my daughter to the Minato Mirai Hall for the ""Musical Instrument Knowledge Concert"" starting from now. It's been a while, so I dressed up a bit, but unfortunately, it's raining. It's just my luck."
大塚ばりキモい(笑)  食い物ねだってくる(>_<) さすがでぶ,Otsuka is so gross (lol). Always begging for food (>_<). Truly a fatty.
[USER] 10件目から帰署(；´Д`A忙しいバイ♪(´ε｀ ),"[ASSISTANT] Returning to the police station from the 10th case. So busy, bye~♪(´ε｀ )"
busy？ or not busy？ I could not understand today‘s work…,Are you busy? I couldn't understand today's work...
[USER] おおおぉぉ?ご近所♪( ´▽｀) よろしく〜( ´ ▽ ` )ﾉ ヨークベニマルで会うかもね（笑）,"[USER] Ohhh! Hello, neighbor♪ ( ´▽｀) Nice to meet you~ ( ´ ▽ ` )ﾉ We might see each other at York Benimaru, haha."
今日の収穫：珍宝島が実在して、その領有権をめぐって、中ソ間で武力衝突があったということを知った。,"Today's harvest: I learned that the legendary Treasure Island actually exists, and there was an armed conflict between China and the Soviet Union over its territorial rights."
韓流ブームって何ですか？ どこで起きてるのですか？ ふと新大久保で考えてみた。,What is the Hallyu wave? Where is it happening? I suddenly thought about it in Shin-Okubo.
居酒屋なう。 特製サラダたのんだら、予想外のがきた???? う、う、 うどん？(((;???;)))(((;???;)))(((;???;))) [URL],"I'm at an izakaya right now. I ordered a special salad, but something unexpected arrived! U, u, udon? (((;???;)))(((;???;)))(((;???;))) [URL]"
[USER] あれ、イマココで地図つけたんですが載ってないのかな…(￣◇￣;)とちの実橋です！,"[USER] Huh, I marked it on the map right here, but I guess it's not showing up... (￣◇￣;) It's called Tochi no Mihashi!"
千葉交通京成バス 東京駅八重洲口前バス停(銚子・佐原・TDR方面)にタッチ！ [URL],"Chiba Kotsu Keisei Bus, touch at the Tokyo Station Yaesu Entrance Bus Stop (bound for Choshi, Sawara, TDR)! [URL]"
寒い中こごえながらワックスしなければならんとしたら多分ワックスしないと思うブ━━━━∵;（;:゜:鑾;゜;，）;:∵━━━ッ!!,"If I have to wax in this freezing cold, I probably won't do it. ブ━━━━∵;（;:゜:鑾;゜;，）;:∵━━━ッ!!"
とりあえず終了♪ 木津かおり姉さん、ミカド雅峰君と。あとは夜の野毛チャリティに参戦だ…(；´Д`A [URL],"For now, it's done♪ With Kizuka Kaori and Mikado Nagamine-kun. After that, I'll join the Yonoh Night Charity...(；´Д`A [URL]"
レーティング差2で301で60点とクリケットブル以外オール1マークはキツイよ(´;ω;`),"Translation: 

It's tough to get all marks except for Cricket Bull with a score of 60 at 301 with a rating difference of 2. (´;ω;`)"
イギリスの巨大な人工太陽には    驚いた。  太陽まで作ってしまう なんて〜。これが本物の太陽のように 地球の生物のすべてに愛を注ぐならば それは、現代のおとぎ話しです。       (太陽がいっぱい）のメロディが ふと、浮かんだー。,"I was surprised by the gigantic artificial sun in the UK. To think that they created a sun... It's like a modern fairytale if it could give love to all living beings on Earth just like the real sun. The melody of ""Sun is Shining"" suddenly came to mind."
[USER] 原発はもういりません だって電力たりてんじゃん！ 東電の努力と国民の節電での成果と言うならこれからもそうすれば良いんじゃない ただ単に #火力発電や他の発電に比べて 原発の方が儲かるだけなんじゃないの,"[NLU] The user is expressing their opinion about nuclear power plants, questioning the need for them. They mention that there is enough electricity due to the efforts of Tokyo Electric Power Company (TEPCO) and the conservation of the citizens. They suggest that if this continues, there would be no need for nuclear power plants. Additionally, they hint that nuclear power plants may be profitable compared to other forms of power generation. 

[TUL] We no longer need nuclear power plants because we have enough electricity, thanks to TEPCO's efforts and the energy conservation by the public. If we continue in this way, there would be no need for nuclear power plants. Perhaps, the only reason nuclear power plants are preferred is because they are more profitable compared to other forms of power generation."
ヤバス！スマホのアプリをDLしたは良いけど、使いこなせてねぇ！！twitrerも使用方法分かりましぇん泣,"Yabasu! I downloaded a smartphone app, but I can't use it properly! I don't understand how to use Twitter either, and it's frustrating."
帰り道。 ? Lost and Found (Shinichi Osawa Remix) by Popular Computer (at 三角公園) ― [URL],On the way home. ? Lost and Found (Shinichi Osawa Remix) by Popular Computer (at Triangle Park) ― [URL]
御在所ロープウェイなう。前回お休みだったので今日はリベンジ。  [URL],"I am currently at the Mount Zao Ropeway. Since I missed out last time, today is my chance for revenge. [URL]"
[USER] おはようございます。あと200km ぐらいです。かたいたまー！,[Assistant] Good morning. It's about 200km more. Hang in there!
昨日はモーニング娘。の福岡コンサート行ってきました＼(^o^)／めっちゃ盛り上がった！やっぱ娘。は歌もダンスも上手い！その中で圧倒されたのは鞘師ちゃん。恋愛ハンターの鞘師ちゃんカッコ良かったです＼(^o^)／,"I went to Morning Musume's concert in Fukuoka yesterday! It was so exciting! As expected, the girls are great at singing and dancing! Among them, Sayashi-chan really impressed me. She was cool as the love hunter!"
今夜は酒無しだからここに決めた(￣0￣)俺のジャンヌじゃないけど...... [URL],"Tonight, we decided to come here because there's no alcohol (￣0￣) It's not my Jeanne, though...... [URL]"
みつって所に入ってから町の過疎っぷりがやばいwもう村だわこれ…それにしてもローソンが凄く綺麗に見えるのは俺だけかw,"Translation: 

Ever since I moved to this town, it's been seriously depopulated. It's practically a village now... But I can't help but notice how incredibly beautiful Lawson looks. Am I the only one who feels that way?"
美味しき鶏肉が食べたくてドライブがてら買いにきちゃった。ここのはとっても美味しい！さて、渋滞に引っ掛からないようにどこを通って帰ろうかな？来る時は混まなかったから帰りもそうだったらいいのにな。 [URL],"I wanted to eat delicious chicken, so I decided to go for a drive and buy some. The chicken here is really tasty! Now, I wonder which route to take back home to avoid traffic congestion. It would be great if the return trip is as smooth as the way here, without any traffic jams. [URL]"
[USER] 参加するからには生にもチャレンジして頂きましょうよ！,"[ASSISTANT] If you're participating, let's also challenge yourself with raw (food)!"
イーストンズの舞台面白がったです。 千秋楽の日にはまだ若干席が空いているそうなのでお時間のある方はぜひ！[URL],"I enjoyed Easton's stage performance. It seems that there are still a few seats available for the final day, so if you have free time, please go ahead and check it out! [URL]"
ヌーボーと共にいかが？RT“[USER] 「しし座流星群」11月17日深夜から18日早朝にピーク　ほぼ全国で観測可能 - はてなブックマークニュース (88 users) [URL] #fb,"How about with Nouveau? RT ""[USER] ""Leonid Meteor Shower"" peaks from late night on November 17th to early morning on the 18th, observable in almost all of Japan - Hatena Bookmark News (88 users) [URL] #fb"
明日は今年初のゴルフ！練習もしてないのに大丈夫かなぁ(^_^;),"Tomorrow is my first golf game of the year! I haven't even practiced, I wonder if I'll be okay...(^_^;)"
やっぱり盲腸でした。。(>_<) お騒がせしております。 親指さんは元気ですのでまたぶろぐの方も_φ(._.カキカキします！ おやすみなさい(｡-_-｡),"It was indeed appendicitis... I apologize for causing a disturbance. I'm happy to report that my thumb is fine, so I will continue to update my blog soon. Goodnight."
試食チョコ食べすぎて吐き気が...( ´△`) 猪野さん野々花ゆきのちゃんおつかれさま [URL],"I ate too much sampled chocolate and feel nauseous...( ´△`) Ino-san, Nonohana Yukino-chan, good job [URL]"
夢見るマイメロディ展 [URL] [URL] [URL] [URL] [URL],Dreaming My Melody Exhibition [URL] [URL] [URL] [URL] [URL]
[USER] 返信ありがとうございます(^^)仙台まで行ってきます。行きは高速バスで、帰りは電車の予定です！仙台始めてなのでわくわく！,[Assistant] Thank you for your reply! (^^) I'll be going to Sendai. I'll take a highway bus on the way there and plan to take the train back! I'm excited because it's my first time in Sendai!
[USER] ってか、ろっきゅうおにぎりはどこにあるのかしら(笑),"[USER] By the way, I wonder where can I find rock kyuu onigiri (laughs)"
なんと。「イグジット・スルー・ザ・ギフトショップ」が今日からセンチュリーシネマで公開とな。「ツリーオブライフ」も「スーパー！」も後回しだ。とにかくまずはこれを観なきゃ。#BANKSY_car [URL],"Wow. ""Exit Through the Gift Shop"" is now being released at Century Cinema starting today. ""Tree of Life"" and ""Super!"" can wait. I have to watch this first. #BANKSY_car [URL]"
[USER] じかに、ロックシティで、見ると、すごいな。あんまき。 [URL],"[USER] Directly, when you see it in Rock City, it's amazing. It's very cool. [URL]"
がむしゃらを知ってて当然みたいに書いてますけど、いまここ。 34.645315,"It seems like you are writing as if knowing the meaning of ""がむしゃら"" is obvious, but right now, here. 34.645315."
不滅のシンボル 鳳凰と獅子  父上ありがとうございます (@ サントリー美術館 (Suntory Museum of Art)) [URL],"Immortal symbols, Phoenix and Lion. Thank you, Father. (@ Suntory Museum of Art) [URL]"
